household_id,province,people,month,appliance,own,hours_morning,hours_afternoon,hours_evening,hours_night,rainy_days,public_holidays,typical_w,min_w,max_w,standby_w,hours_morning_monthly,hours_afternoon_monthly,hours_evening_monthly,hours_night_monthly,daily_hours_total,monthly_hours_total,monthly_kwh_appliance
1,North Central,5,11,Ceiling Fan,1,0.651,0.508,3.671,2.509,15,2,65,45,85,0,19.53,15.24,110.13,75.27,7.339,220.17000000000002,14.311050000000002
1,North Central,5,11,Refrigerator (200–300L),1,1.0,1.0,1.0,1.0,15,2,160,100,250,5,30.0,30.0,30.0,30.0,4.0,120.0,22.8
1,North Central,5,11,Inverter AC (9000–12000 BTU),1,0.017,0.288,0.999,3.208,15,2,950,700,1400,2,0.51,8.639999999999999,29.97,96.24000000000001,4.5120000000000005,135.36,130.032
1,North Central,5,11,LED TV (40–50 in),1,0.304,0.759,2.02,0.36,15,2,90,60,140,1,9.12,22.77,60.6,10.799999999999999,3.443,103.29,10.0161
1,North Central,5,11,Laptop,1,0.22,1.011,1.063,0.193,15,2,65,45,90,1,6.6,30.33,31.889999999999997,5.79,2.4869999999999997,74.61,5.569649999999999
1,North Central,5,11,Washing Machine (Front-load),1,0.066,0.099,0.093,0.062,15,2,500,350,800,1,1.98,2.97,2.79,1.8599999999999999,0.32,9.6,5.52
1,North Central,5,11,Rice Cooker,1,0.285,0.051,0.505,0.0,15,2,500,300,900,0,8.549999999999999,1.5299999999999998,15.15,0.0,0.841,25.229999999999997,12.614999999999998
1,North Central,5,11,Microwave Oven,1,0.073,0.092,0.034,0.02,15,2,1200,800,1600,2,2.19,2.76,1.02,0.6,0.21899999999999997,6.5699999999999985,9.323999999999998
1,North Central,5,11,LED Bulb,1,0.1,0.2,3.364,6.266,15,2,9,5,15,0,3.0,6.0,100.92,187.98,9.93,297.9,2.6811
1,North Central,5,11,Water Heater (Instant),1,0.043,0.021,0.057,0.006,15,2,3000,2000,4500,0,1.2899999999999998,0.63,1.71,0.18,0.127,3.81,11.43
1,North Central,5,11,Blender,1,0.093,0.059,0.052,0.046,15,2,400,200,800,0,2.79,1.77,1.5599999999999998,1.38,0.25,7.5,3.0
2,Uva,4,12,Ceiling Fan,1,0.868,0.563,2.663,2.301,10,3,65,45,85,0,26.04,16.889999999999997,79.89,69.03,6.395,191.85,12.47025
2,Uva,4,12,Pedestal Fan,1,0.913,1.101,2.609,2.147,10,3,75,50,100,0,27.39,33.03,78.27,64.41,6.77,203.1,15.2325
2,Uva,4,12,Refrigerator (200–300L),1,1.0,1.0,1.0,1.0,10,3,160,100,250,5,30.0,30.0,30.0,30.0,4.0,120.0,22.8
2,Uva,4,12,Inverter AC (9000–12000 BTU),1,0.061,0.159,1.563,2.364,10,3,950,700,1400,2,1.83,4.7700000000000005,46.89,70.92,4.147,124.41,119.6295
2,Uva,4,12,LED TV (40–50 in),1,0.496,0.527,1.179,0.571,10,3,90,60,140,1,14.879999999999999,15.81,35.370000000000005,17.13,2.7729999999999997,83.19,8.207099999999999
2,Uva,4,12,Laptop,1,0.716,0.707,1.271,0.247,10,3,65,45,90,1,21.48,21.209999999999997,38.129999999999995,7.41,2.941,88.22999999999999,6.454949999999999
2,Uva,4,12,Washing Machine (Front-load),1,0.145,0.218,0.2,0.133,10,3,500,350,800,1,4.35,6.54,6.0,3.99,0.696,20.880000000000003,11.160000000000002
2,Uva,4,12,Rice Cooker,1,0.358,0.006,0.332,0.0,10,3,500,300,900,0,10.74,0.18,9.96,0.0,0.696,20.880000000000003,10.440000000000001
2,Uva,4,12,Electric Kettle,1,0.025,0.077,0.045,0.025,10,3,2000,1500,2200,0,0.75,2.31,1.3499999999999999,0.75,0.17200000000000001,5.16,10.32
2,Uva,4,12,Iron,1,0.101,0.044,0.053,0.038,10,3,1200,900,1800,0,3.0300000000000002,1.3199999999999998,1.5899999999999999,1.14,0.23600000000000002,7.079999999999999,8.495999999999999
2,Uva,4,12,Water Pump,1,0.046,0.123,0.058,0.016,10,3,750,400,1100,0,1.38,3.69,1.74,0.48,0.243,7.290000000000001,5.467500000000001
2,Uva,4,12,Incandescent Bulb,1,0.1,0.2,4.859,6.424,10,3,60,40,100,0,3.0,6.0,145.77,192.72,11.583,347.49,20.849400000000003
2,Uva,4,12,LED Bulb,1,0.1,0.2,4.267,6.614,10,3,9,5,15,0,3.0,6.0,128.01000000000002,198.42,11.181000000000001,335.43,3.0188699999999997
3,Northern,5,11,Ceiling Fan,1,0.653,0.525,2.332,2.549,15,2,65,45,85,0,19.59,15.75,69.96,76.47,6.058999999999999,181.76999999999998,11.81505
3,Northern,5,11,Pedestal Fan,1,0.789,1.127,2.135,4.644,15,2,75,50,100,0,23.67,33.81,64.05,139.32,8.695,260.85,19.56375
3,Northern,5,11,Refrigerator (200–300L),1,1.0,1.0,1.0,1.0,15,2,160,100,250,5,30.0,30.0,30.0,30.0,4.0,120.0,22.8
3,Northern,5,11,LED TV (40–50 in),1,0.219,0.833,1.617,0.026,15,2,90,60,140,1,6.57,24.99,48.51,0.7799999999999999,2.695,80.85,7.996499999999999
3,Northern,5,11,Laptop,1,0.431,0.75,1.181,0.265,15,2,65,45,90,1,12.93,22.5,35.43,7.95,2.6270000000000002,78.81,5.842650000000001
3,Northern,5,11,Washing Machine (Front-load),1,0.13,0.195,0.184,0.123,15,2,500,350,800,1,3.9000000000000004,5.8500000000000005,5.52,3.69,0.632,18.96,10.2
3,Northern,5,11,Rice Cooker,1,0.388,0.126,0.324,0.0,15,2,500,300,900,0,11.64,3.7800000000000002,9.72,0.0,0.8380000000000001,25.14,12.57
3,Northern,5,11,Electric Kettle,1,0.053,0.042,0.084,0.024,15,2,2000,1500,2200,0,1.5899999999999999,1.26,2.52,0.72,0.20299999999999999,6.089999999999999,12.179999999999998
3,Northern,5,11,Iron,1,0.105,0.055,0.085,0.04,15,2,1200,900,1800,0,3.15,1.65,2.5500000000000003,1.2,0.285,8.549999999999999,10.259999999999998
3,Northern,5,11,Water Pump,1,0.03,0.252,0.139,0.086,15,2,750,400,1100,0,0.8999999999999999,7.5600000000000005,4.17,2.5799999999999996,0.507,15.21,11.4075
3,Northern,5,11,LED Bulb,1,0.1,0.2,3.652,4.661,15,2,9,5,15,0,3.0,6.0,109.56,139.82999999999998,8.613,258.39,2.32551
3,Northern,5,11,Water Heater (Instant),1,0.071,0.081,0.035,0.019,15,2,3000,2000,4500,0,2.13,2.43,1.05,0.57,0.206,6.180000000000001,18.54
3,Northern,5,11,Blender,1,0.101,0.055,0.061,0.042,15,2,400,200,800,0,3.0300000000000002,1.65,1.83,1.26,0.259,7.77,3.108
4,Sabaragamuwa,2,7,Ceiling Fan,1,0.907,1.407,3.499,3.927,10,2,65,45,85,0,27.21,42.21,104.97,117.81,9.74,292.2,18.993
4,Sabaragamuwa,2,7,Refrigerator (200–300L),1,1.0,1.0,1.0,1.0,10,2,160,100,250,5,30.0,30.0,30.0,30.0,4.0,120.0,22.8
4,Sabaragamuwa,2,7,Inverter AC (9000–12000 BTU),1,0.114,0.182,1.872,3.353,10,2,950,700,1400,2,3.42,5.46,56.160000000000004,100.59,5.521000000000001,165.63,158.7885
4,Sabaragamuwa,2,7,LED TV (40–50 in),1,0.226,0.406,1.728,0.359,10,2,90,60,140,1,6.78,12.180000000000001,51.839999999999996,10.77,2.719,81.57,8.0613
4,Sabaragamuwa,2,7,Laptop,1,0.844,0.361,0.518,0.247,10,2,65,45,90,1,25.32,10.83,15.540000000000001,7.41,1.9700000000000002,59.099999999999994,4.5615
4,Sabaragamuwa,2,7,Rice Cooker,1,0.269,0.078,0.523,0.0,10,2,500,300,900,0,8.07,2.34,15.690000000000001,0.0,0.8700000000000001,26.1,13.05
4,Sabaragamuwa,2,7,Microwave Oven,1,0.082,0.047,0.063,0.025,10,2,1200,800,1600,2,2.46,1.41,1.8900000000000001,0.75,0.217,6.51,9.252
4,Sabaragamuwa,2,7,Iron,1,0.075,0.042,0.067,0.049,10,2,1200,900,1800,0,2.25,1.26,2.0100000000000002,1.47,0.23299999999999998,6.989999999999999,8.388
4,Sabaragamuwa,2,7,LED Bulb,1,0.1,0.2,3.973,6.718,10,2,9,5,15,0,3.0,6.0,119.19,201.54,10.991,329.73,2.9675700000000003
5,Central,3,1,Ceiling Fan,1,0.66,0.903,3.776,3.01,6,2,65,45,85,0,19.8,27.09,113.28,90.3,8.349,250.47000000000003,16.28055
5,Central,3,1,Refrigerator (200–300L),1,1.0,1.0,1.0,1.0,6,2,160,100,250,5,30.0,30.0,30.0,30.0,4.0,120.0,22.8
5,Central,3,1,LED TV (40–50 in),1,0.178,0.566,2.404,0.557,6,2,90,60,140,1,5.34,16.979999999999997,72.12,16.71,3.7049999999999996,111.15,10.7235
5,Central,3,1,Desktop PC,1,0.575,0.294,1.115,0.495,6,2,200,120,350,2,17.25,8.82,33.45,14.85,2.479,74.37,16.314
5,Central,3,1,Microwave Oven,1,0.033,0.065,0.09,0.037,6,2,1200,800,1600,2,0.99,1.9500000000000002,2.6999999999999997,1.1099999999999999,0.225,6.75,9.54
5,Central,3,1,Iron,1,0.08,0.081,0.049,0.015,6,2,1200,900,1800,0,2.4,2.43,1.47,0.44999999999999996,0.22500000000000003,6.75,8.1
6,North Central,3,2,Ceiling Fan,1,0.531,0.553,3.755,3.173,5,2,65,45,85,0,15.930000000000001,16.59,112.64999999999999,95.19,8.012,240.35999999999999,15.6234
6,North Central,3,2,Refrigerator (200–300L),1,1.0,1.0,1.0,1.0,5,2,160,100,250,5,30.0,30.0,30.0,30.0,4.0,120.0,22.8
6,North Central,3,2,LED TV (40–50 in),1,0.16,0.544,2.155,0.173,5,2,90,60,140,1,4.8,16.32,64.64999999999999,5.1899999999999995,3.032,90.96,8.9064
6,North Central,3,2,Rice Cooker,1,0.41,0.018,0.316,0.0,5,2,500,300,900,0,12.299999999999999,0.5399999999999999,9.48,0.0,0.744,22.32,11.16
6,North Central,3,2,Electric Kettle,1,0.066,0.067,0.071,0.036,5,2,2000,1500,2200,0,1.98,2.0100000000000002,2.13,1.0799999999999998,0.24000000000000002,7.2,14.4
6,North Central,3,2,Microwave Oven,1,0.104,0.065,0.046,0.04,5,2,1200,800,1600,2,3.1199999999999997,1.9500000000000002,1.38,1.2,0.25499999999999995,7.65,10.62
6,North Central,3,2,Iron,1,0.044,0.058,0.026,0.001,5,2,1200,900,1800,0,1.3199999999999998,1.74,0.7799999999999999,0.03,0.129,3.869999999999999,4.643999999999999
6,North Central,3,2,Water Pump,1,0.193,0.351,0.139,0.041,5,2,750,400,1100,0,5.79,10.53,4.17,1.23,0.7240000000000001,21.720000000000002,16.290000000000003
6,North Central,3,2,LED Bulb,1,0.1,0.2,3.347,4.469,5,2,9,5,15,0,3.0,6.0,100.41,134.07000000000002,8.116,243.48000000000002,2.19132
6,North Central,3,2,Blender,1,0.042,0.068,0.077,0.033,5,2,400,200,800,0,1.26,2.04,2.31,0.99,0.22,6.6,2.64
7,Eastern,4,7,Ceiling Fan,1,0.808,0.537,3.82,4.567,10,2,65,45,85,0,24.240000000000002,16.11,114.6,137.01,9.732,291.96,18.9774
7,Eastern,4,7,Refrigerator (200–300L),1,1.0,1.0,1.0,1.0,10,2,160,100,250,5,30.0,30.0,30.0,30.0,4.0,120.0,22.8
7,Eastern,4,7,Inverter AC (9000–12000 BTU),1,0.051,0.007,1.862,1.963,10,2,950,700,1400,2,1.5299999999999998,0.21,55.86,58.89,3.883,116.49000000000001,112.10550000000002
7,Eastern,4,7,LED TV (40–50 in),1,0.335,0.647,1.924,0.755,10,2,90,60,140,1,10.05,19.41,57.72,22.65,3.6609999999999996,109.83000000000001,10.604700000000001
